item_name,release_year,retirement_year,condition,grade,category_subtype,original_retail,source_platform,date,price_usd
Pokémon Charizard Base Set Holo PSA 9,1999,2000,Graded,PSA 9,Pokemon,3.99,eBay,2024-01-01,618.75
Pokémon Charizard Base Set Holo PSA 9,1999,2000,Graded,PSA 9,Pokemon,3.99,eBay,2024-02-01,625.46
Pokémon Charizard Base Set Holo PSA 9,1999,2000,Graded,PSA 9,Pokemon,3.99,eBay,2024-03-01,625.77
Pokémon Charizard Base Set Holo PSA 9,1999,2000,Graded,PSA 9,Pokemon,3.99,eBay,2024-04-01,634.09
Pokémon Charizard Base Set Holo PSA 9,1999,2000,Graded,PSA 9,Pokemon,3.99,eBay,2024-05-01,651.58
Pokémon Charizard Base Set Holo PSA 9,1999,2000,Graded,PSA 9,Pokemon,3.99,eBay,2024-06-01,650.88
Pokémon Charizard Base Set Holo PSA 9,1999,2000,Graded,PSA 9,Pokemon,3.99,eBay,2024-07-01,650.18
Pokémon Charizard Base Set Holo PSA 9,1999,2000,Graded,PSA 9,Pokemon,3.99,eBay,2024-08-01,668.71
Pokémon Charizard Base Set Holo PSA 9,1999,2000,Graded,PSA 9,Pokemon,3.99,eBay,2024-09-01,678.92
Pokémon Charizard Base Set Holo PSA 9,1999,2000,Graded,PSA 9,Pokemon,3.99,eBay,2024-10-01,675.58
Pokémon Charizard Base Set Holo PSA 9,1999,2000,Graded,PSA 9,Pokemon,3.99,eBay,2024-11-01,683.41
Pokémon Charizard Base Set Holo PSA 9,1999,2000,Graded,PSA 9,Pokemon,3.99,eBay,2024-12-01,680.12
Pokémon Charizard Base Set Holo PSA 9,1999,2000,Graded,PSA 9,Pokemon,3.99,eBay,2025-01-01,676.82
Pokémon Charizard Base Set Holo PSA 9,1999,2000,Graded,PSA 9,Pokemon,3.99,eBay,2025-02-01,681.34
Pokémon Charizard Base Set Holo PSA 9,1999,2000,Graded,PSA 9,Pokemon,3.99,eBay,2025-03-01,661.95
Pokémon Charizard Base Set Holo PSA 9,1999,2000,Graded,PSA 9,Pokemon,3.99,eBay,2025-04-01,645.14
Pokémon Charizard Base Set Holo PSA 9,1999,2000,Graded,PSA 9,Pokemon,3.99,eBay,2025-05-01,640.99
Pokémon Charizard Base Set Holo PSA 9,1999,2000,Graded,PSA 9,Pokemon,3.99,eBay,2025-06-01,632.16
Pokémon Charizard Base Set Holo PSA 9,1999,2000,Graded,PSA 9,Pokemon,3.99,eBay,2025-07-01,637.13
Pokémon Charizard Base Set Holo PSA 9,1999,2000,Graded,PSA 9,Pokemon,3.99,eBay,2025-08-01,629.45
Pokémon Charizard Base Set Holo PSA 9,1999,2000,Graded,PSA 9,Pokemon,3.99,eBay,2025-09-01,616.67
Pokémon Charizard Base Set Holo PSA 9,1999,2000,Graded,PSA 9,Pokemon,3.99,eBay,2025-10-01,633.11
Pokémon Charizard Base Set Holo PSA 9,1999,2000,Graded,PSA 9,Pokemon,3.99,eBay,2025-11-01,632.51
Pokémon Charizard Base Set Holo PSA 9,1999,2000,Graded,PSA 9,Pokemon,3.99,eBay,2025-12-01,634.94
Pokémon Lugia Neo Genesis 1st Ed PSA 9,2000,2001,Graded,PSA 9,Pokemon,3.99,PWCC,2024-01-01,294.1
Pokémon Lugia Neo Genesis 1st Ed PSA 9,2000,2001,Graded,PSA 9,Pokemon,3.99,PWCC,2024-02-01,289.51
Pokémon Lugia Neo Genesis 1st Ed PSA 9,2000,2001,Graded,PSA 9,Pokemon,3.99,PWCC,2024-03-01,290.93
Pokémon Lugia Neo Genesis 1st Ed PSA 9,2000,2001,Graded,PSA 9,Pokemon,3.99,PWCC,2024-04-01,296.78
Pokémon Lugia Neo Genesis 1st Ed PSA 9,2000,2001,Graded,PSA 9,Pokemon,3.99,PWCC,2024-05-01,294.04
Pokémon Lugia Neo Genesis 1st Ed PSA 9,2000,2001,Graded,PSA 9,Pokemon,3.99,PWCC,2024-06-01,301.77
Pokémon Lugia Neo Genesis 1st Ed PSA 9,2000,2001,Graded,PSA 9,Pokemon,3.99,PWCC,2024-07-01,302.85
Pokémon Lugia Neo Genesis 1st Ed PSA 9,2000,2001,Graded,PSA 9,Pokemon,3.99,PWCC,2024-08-01,306.11
Pokémon Lugia Neo Genesis 1st Ed PSA 9,2000,2001,Graded,PSA 9,Pokemon,3.99,PWCC,2024-09-01,307.19
Pokémon Lugia Neo Genesis 1st Ed PSA 9,2000,2001,Graded,PSA 9,Pokemon,3.99,PWCC,2024-10-01,325.82
Pokémon Lugia Neo Genesis 1st Ed PSA 9,2000,2001,Graded,PSA 9,Pokemon,3.99,PWCC,2024-11-01,331.43
Pokémon Lugia Neo Genesis 1st Ed PSA 9,2000,2001,Graded,PSA 9,Pokemon,3.99,PWCC,2024-12-01,329.09
Pokémon Lugia Neo Genesis 1st Ed PSA 9,2000,2001,Graded,PSA 9,Pokemon,3.99,PWCC,2025-01-01,341.17
Pokémon Lugia Neo Genesis 1st Ed PSA 9,2000,2001,Graded,PSA 9,Pokemon,3.99,PWCC,2025-02-01,337.46
Pokémon Lugia Neo Genesis 1st Ed PSA 9,2000,2001,Graded,PSA 9,Pokemon,3.99,PWCC,2025-03-01,345.02
Pokémon Lugia Neo Genesis 1st Ed PSA 9,2000,2001,Graded,PSA 9,Pokemon,3.99,PWCC,2025-04-01,335.34
