item_name,release_year,retirement_year,condition,grade,category_subtype,original_retail,source_platform,date,price_usd
Amiibo Cloud (Player 2),2017,2018,New,Sealed,Amiibo,15.99,PriceCharting,2024-01-01,38.38
Amiibo Cloud (Player 2),2017,2018,New,Sealed,Amiibo,15.99,PriceCharting,2024-02-01,38.68
Amiibo Cloud (Player 2),2017,2018,New,Sealed,Amiibo,15.99,PriceCharting,2024-03-01,39.1
Amiibo Cloud (Player 2),2017,2018,New,Sealed,Amiibo,15.99,PriceCharting,2024-04-01,39.51
Amiibo Cloud (Player 2),2017,2018,New,Sealed,Amiibo,15.99,PriceCharting,2024-05-01,40.07
Amiibo Cloud (Player 2),2017,2018,New,Sealed,Amiibo,15.99,PriceCharting,2024-06-01,40.41
Amiibo Cloud (Player 2),2017,2018,New,Sealed,Amiibo,15.99,PriceCharting,2024-07-01,40.97
Amiibo Cloud (Player 2),2017,2018,New,Sealed,Amiibo,15.99,PriceCharting,2024-08-01,41.44
Amiibo Cloud (Player 2),2017,2018,New,Sealed,Amiibo,15.99,PriceCharting,2024-09-01,41.78
Amiibo Cloud (Player 2),2017,2018,New,Sealed,Amiibo,15.99,PriceCharting,2024-10-01,42.22
Amiibo Cloud (Player 2),2017,2018,New,Sealed,Amiibo,15.99,PriceCharting,2024-11-01,42.71
Amiibo Cloud (Player 2),2017,2018,New,Sealed,Amiibo,15.99,PriceCharting,2024-12-01,43.23
Amiibo Cloud (Player 2),2017,2018,New,Sealed,Amiibo,15.99,PriceCharting,2025-01-01,43.51
Amiibo Cloud (Player 2),2017,2018,New,Sealed,Amiibo,15.99,PriceCharting,2025-02-01,43.98
Amiibo Cloud (Player 2),2017,2018,New,Sealed,Amiibo,15.99,PriceCharting,2025-03-01,44.43
Amiibo Cloud (Player 2),2017,2018,New,Sealed,Amiibo,15.99,PriceCharting,2025-04-01,45.02
Amiibo Cloud (Player 2),2017,2018,New,Sealed,Amiibo,15.99,PriceCharting,2025-05-01,45.4
Amiibo Cloud (Player 2),2017,2018,New,Sealed,Amiibo,15.99,PriceCharting,2025-06-01,45.96
Amiibo Cloud (Player 2),2017,2018,New,Sealed,Amiibo,15.99,PriceCharting,2025-07-01,46.47
Amiibo Cloud (Player 2),2017,2018,New,Sealed,Amiibo,15.99,PriceCharting,2025-08-01,46.88
Amiibo Cloud (Player 2),2017,2018,New,Sealed,Amiibo,15.99,PriceCharting,2025-09-01,47.41
Amiibo Cloud (Player 2),2017,2018,New,Sealed,Amiibo,15.99,PriceCharting,2025-10-01,47.93
Amiibo Cloud (Player 2),2017,2018,New,Sealed,Amiibo,15.99,PriceCharting,2025-11-01,48.48
Amiibo Cloud (Player 2),2017,2018,New,Sealed,Amiibo,15.99,PriceCharting,2025-12-01,49.06
Amiibo Corrin (Player 2),2019,2020,New,Sealed,Amiibo,15.99,PriceCharting,2024-01-01,41.57
Amiibo Corrin (Player 2),2019,2020,New,Sealed,Amiibo,15.99,PriceCharting,2024-02-01,41.93
Amiibo Corrin (Player 2),2019,2020,New,Sealed,Amiibo,15.99,PriceCharting,2024-03-01,42.43
Amiibo Corrin (Player 2),2019,2020,New,Sealed,Amiibo,15.99,PriceCharting,2024-04-01,42.86
Amiibo Corrin (Player 2),2019,2020,New,Sealed,Amiibo,15.99,PriceCharting,2024-05-01,43.37
Amiibo Corrin (Player 2),2019,2020,New,Sealed,Amiibo,15.99,PriceCharting,2024-06-01,43.88
Amiibo Corrin (Player 2),2019,2020,New,Sealed,Amiibo,15.99,PriceCharting,2024-07-01,44.37
Amiibo Corrin (Player 2),2019,2020,New,Sealed,Amiibo,15.99,PriceCharting,2024-08-01,44.82
Amiibo Corrin (Player 2),2019,2020,New,Sealed,Amiibo,15.99,PriceCharting,2024-09-01,45.22
Amiibo Corrin (Player 2),2019,2020,New,Sealed,Amiibo,15.99,PriceCharting,2024-10-01,45.81
Amiibo Corrin (Player 2),2019,2020,New,Sealed,Amiibo,15.99,PriceCharting,2024-11-01,46.36
Amiibo Corrin (Player 2),2019,2020,New,Sealed,Amiibo,15.99,PriceCharting,2024-12-01,46.8
Amiibo Corrin (Player 2),2019,2020,New,Sealed,Amiibo,15.99,PriceCharting,2025-01-01,47.44
Amiibo Corrin (Player 2),2019,2020,New,Sealed,Amiibo,15.99,PriceCharting,2025-02-01,47.81
Amiibo Corrin (Player 2),2019,2020,New,Sealed,Amiibo,15.99,PriceCharting,2025-03-01,48.45
Amiibo Corrin (Player 2),2019,2020,New,Sealed,Amiibo,15.99,PriceCharting,2025-04-01,49.08
Amiibo Corrin (Player 2),2019,2020,New,Sealed,Amiibo,15.99,PriceCharting,2025-05-01,49.77
Amiibo Corrin (Player 2),2019,2020,New,Sealed,Amiibo,15.99,PriceCharting,2025-06-01,50.3
Amiibo Corrin (Player 2),2019,2020,New,Sealed,Amiibo,15.99,PriceCharting,2025-07-01,50.94
Amiibo Corrin (Player 2),2019,2020,New,Sealed,Amiibo,15.99,PriceCharting,2025-08-01,51.65
Amiibo Corrin (Player 2),2019,2020,New,Sealed,Amiibo,15.99,PriceCharting,2025-09-01,52.44
Amiibo Corrin (Player 2),2019,2020,New,Sealed,Amiibo,15.99,PriceCharting,2025-10-01,53.04
Amiibo Corrin (Player 2),2019,2020,New,Sealed,Amiibo,15.99,PriceCharting,2025-11-01,53.46
Amiibo Corrin (Player 2),2019,2020,New,Sealed,Amiibo,15.99,PriceCharting,2025-12-01,54.07
Amiibo Gold Mario (Super Mario Series),2015,2016,New,Sealed,Amiibo,12.99,PriceCharting,2024-01-01,64.95
Amiibo Gold Mario (Super Mario Series),2015,2016,New,Sealed,Amiibo,12.99,PriceCharting,2024-02-01,66.01
Amiibo Gold Mario (Super Mario Series),2015,2016,New,Sealed,Amiibo,12.99,PriceCharting,2024-03-01,66.96
Amiibo Gold Mario (Super Mario Series),2015,2016,New,Sealed,Amiibo,12.99,PriceCharting,2024-04-01,68.05
Amiibo Gold Mario (Super Mario Series),2015,2016,New,Sealed,Amiibo,12.99,PriceCharting,2024-05-01,69.28
Amiibo Gold Mario (Super Mario Series),2015,2016,New,Sealed,Amiibo,12.99,PriceCharting,2024-06-01,70.46
Amiibo Gold Mario (Super Mario Series),2015,2016,New,Sealed,Amiibo,12.99,PriceCharting,2024-07-01,71.57
Amiibo Gold Mario (Super Mario Series),2015,2016,New,Sealed,Amiibo,12.99,PriceCharting,2024-08-01,72.72
Amiibo Gold Mario (Super Mario Series),2015,2016,New,Sealed,Amiibo,12.99,PriceCharting,2024-09-01,74.04
Amiibo Gold Mario (Super Mario Series),2015,2016,New,Sealed,Amiibo,12.99,PriceCharting,2024-10-01,75.09
Amiibo Gold Mario (Super Mario Series),2015,2016,New,Sealed,Amiibo,12.99,PriceCharting,2024-11-01,76.22
Amiibo Gold Mario (Super Mario Series),2015,2016,New,Sealed,Amiibo,12.99,PriceCharting,2024-12-01,77.44
Amiibo Gold Mario (Super Mario Series),2015,2016,New,Sealed,Amiibo,12.99,PriceCharting,2025-01-01,78.83
Amiibo Gold Mario (Super Mario Series),2015,2016,New,Sealed,Amiibo,12.99,PriceCharting,2025-02-01,80.2
Amiibo Gold Mario (Super Mario Series),2015,2016,New,Sealed,Amiibo,12.99,PriceCharting,2025-03-01,81.1
Amiibo Gold Mario (Super Mario Series),2015,2016,New,Sealed,Amiibo,12.99,PriceCharting,2025-04-01,82.08
Amiibo Gold Mario (Super Mario Series),2015,2016,New,Sealed,Amiibo,12.99,PriceCharting,2025-05-01,83.17
Amiibo Gold Mario (Super Mario Series),2015,2016,New,Sealed,Amiibo,12.99,PriceCharting,2025-06-01,84.56
Amiibo Gold Mario (Super Mario Series),2015,2016,New,Sealed,Amiibo,12.99,PriceCharting,2025-07-01,85.85
Amiibo Gold Mario (Super Mario Series),2015,2016,New,Sealed,Amiibo,12.99,PriceCharting,2025-08-01,86.97
Amiibo Gold Mario (Super Mario Series),2015,2016,New,Sealed,Amiibo,12.99,PriceCharting,2025-09-01,87.99
Amiibo Gold Mario (Super Mario Series),2015,2016,New,Sealed,Amiibo,12.99,PriceCharting,2025-10-01,89.42
Amiibo Gold Mario (Super Mario Series),2015,2016,New,Sealed,Amiibo,12.99,PriceCharting,2025-11-01,90.88
Amiibo Gold Mario (Super Mario Series),2015,2016,New,Sealed,Amiibo,12.99,PriceCharting,2025-12-01,92.54
Amiibo Inkling Boy (Splatoon),2015,2017,New,Sealed,Amiibo,12.99,PriceCharting,2024-01-01,32.48
Amiibo Inkling Boy (Splatoon),2015,2017,New,Sealed,Amiibo,12.99,PriceCharting,2024-02-01,32.76
Amiibo Inkling Boy (Splatoon),2015,2017,New,Sealed,Amiibo,12.99,PriceCharting,2024-03-01,33.14
Amiibo Inkling Boy (Splatoon),2015,2017,New,Sealed,Amiibo,12.99,PriceCharting,2024-04-01,33.5
Amiibo Inkling Boy (Splatoon),2015,2017,New,Sealed,Amiibo,12.99,PriceCharting,2024-05-01,33.89
Amiibo Inkling Boy (Splatoon),2015,2017,New,Sealed,Amiibo,12.99,PriceCharting,2024-06-01,34.14
Amiibo Inkling Boy (Splatoon),2015,2017,New,Sealed,Amiibo,12.99,PriceCharting,2024-07-01,34.49
Amiibo Inkling Boy (Splatoon),2015,2017,New,Sealed,Amiibo,12.99,PriceCharting,2024-08-01,34.95
Amiibo Inkling Boy (Splatoon),2015,2017,New,Sealed,Amiibo,12.99,PriceCharting,2024-09-01,35.27
Amiibo Inkling Boy (Splatoon),2015,2017,New,Sealed,Amiibo,12.99,PriceCharting,2024-10-01,35.67
Amiibo Inkling Boy (Splatoon),2015,2017,New,Sealed,Amiibo,12.99,PriceCharting,2024-11-01,35.91
Amiibo Inkling Boy (Splatoon),2015,2017,New,Sealed,Amiibo,12.99,PriceCharting,2024-12-01,36.39
Amiibo Inkling Boy (Splatoon),2015,2017,New,Sealed,Amiibo,12.99,PriceCharting,2025-01-01,36.78
Amiibo Inkling Boy (Splatoon),2015,2017,New,Sealed,Amiibo,12.99,PriceCharting,2025-02-01,37.06
Amiibo Inkling Boy (Splatoon),2015,2017,New,Sealed,Amiibo,12.99,PriceCharting,2025-03-01,37.32
Amiibo Inkling Boy (Splatoon),2015,2017,New,Sealed,Amiibo,12.99,PriceCharting,2025-04-01,37.7
Amiibo Inkling Boy (Splatoon),2015,2017,New,Sealed,Amiibo,12.99,PriceCharting,2025-05-01,38.09
Amiibo Inkling Boy (Splatoon),2015,2017,New,Sealed,Amiibo,12.99,PriceCharting,2025-06-01,38.33
Amiibo Inkling Boy (Splatoon),2015,2017,New,Sealed,Amiibo,12.99,PriceCharting,2025-07-01,38.86
Amiibo Inkling Boy (Splatoon),2015,2017,New,Sealed,Amiibo,12.99,PriceCharting,2025-08-01,39.36
Amiibo Inkling Boy (Splatoon),2015,2017,New,Sealed,Amiibo,12.99,PriceCharting,2025-09-01,39.74
Amiibo Inkling Boy (Splatoon),2015,2017,New,Sealed,Amiibo,12.99,PriceCharting,2025-10-01,40.0
Amiibo Inkling Boy (Splatoon),2015,2017,New,Sealed,Amiibo,12.99,PriceCharting,2025-11-01,40.5
Amiibo Inkling Boy (Splatoon),2015,2017,New,Sealed,Amiibo,12.99,PriceCharting,2025-12-01,40.89
Amiibo Joker (Persona 5),2020,2022,New,Sealed,Amiibo,15.99,PriceCharting,2024-01-01,28.78
Amiibo Joker (Persona 5),2020,2022,New,Sealed,Amiibo,15.99,PriceCharting,2024-02-01,29.03
Amiibo Joker (Persona 5),2020,2022,New,Sealed,Amiibo,15.99,PriceCharting,2024-03-01,29.35
Amiibo Joker (Persona 5),2020,2022,New,Sealed,Amiibo,15.99,PriceCharting,2024-04-01,29.67
Amiibo Joker (Persona 5),2020,2022,New,Sealed,Amiibo,15.99,PriceCharting,2024-05-01,29.89
