item_name,release_year,retirement_year,condition,grade,category_subtype,original_retail,source_platform,date,price_usd
Rolex Submariner 116610LN,2010,2020,Pre-owned,Full Set,Diver,8500.0,Chrono24,2024-01-01,10078.87
Rolex Submariner 116610LN,2010,2020,Pre-owned,Full Set,Diver,8500.0,Chrono24,2024-02-01,10206.25
Rolex Submariner 116610LN,2010,2020,Pre-owned,Full Set,Diver,8500.0,Chrono24,2024-03-01,10236.19
Rolex Submariner 116610LN,2010,2020,Pre-owned,Full Set,Diver,8500.0,Chrono24,2024-04-01,10318.97
Rolex Submariner 116610LN,2010,2020,Pre-owned,Full Set,Diver,8500.0,Chrono24,2024-05-01,10432.78
Rolex Submariner 116610LN,2010,2020,Pre-owned,Full Set,Diver,8500.0,Chrono24,2024-06-01,10462.95
Rolex Submariner 116610LN,2010,2020,Pre-owned,Full Set,Diver,8500.0,Chrono24,2024-07-01,10518.82
Rolex Submariner 116610LN,2010,2020,Pre-owned,Full Set,Diver,8500.0,Chrono24,2024-08-01,10539.03
Rolex Submariner 116610LN,2010,2020,Pre-owned,Full Set,Diver,8500.0,Chrono24,2024-09-01,10407.2
Rolex Submariner 116610LN,2010,2020,Pre-owned,Full Set,Diver,8500.0,Chrono24,2024-10-01,10409.63
Rolex Submariner 116610LN,2010,2020,Pre-owned,Full Set,Diver,8500.0,Chrono24,2024-11-01,10353.36
Rolex Submariner 116610LN,2010,2020,Pre-owned,Full Set,Diver,8500.0,Chrono24,2024-12-01,10201.87
Rolex Submariner 116610LN,2010,2020,Pre-owned,Full Set,Diver,8500.0,Chrono24,2025-01-01,10075.53
Rolex Submariner 116610LN,2010,2020,Pre-owned,Full Set,Diver,8500.0,Chrono24,2025-02-01,10002.59
Rolex Submariner 116610LN,2010,2020,Pre-owned,Full Set,Diver,8500.0,Chrono24,2025-03-01,9909.78
Rolex Submariner 116610LN,2010,2020,Pre-owned,Full Set,Diver,8500.0,Chrono24,2025-04-01,9853.71
Rolex Submariner 116610LN,2010,2020,Pre-owned,Full Set,Diver,8500.0,Chrono24,2025-05-01,9765.3
Rolex Submariner 116610LN,2010,2020,Pre-owned,Full Set,Diver,8500.0,Chrono24,2025-06-01,9832.24
Rolex Submariner 116610LN,2010,2020,Pre-owned,Full Set,Diver,8500.0,Chrono24,2025-07-01,9903.58
Rolex Submariner 116610LN,2010,2020,Pre-owned,Full Set,Diver,8500.0,Chrono24,2025-08-01,10001.7
Rolex Submariner 116610LN,2010,2020,Pre-owned,Full Set,Diver,8500.0,Chrono24,2025-09-01,9993.94
Rolex Submariner 116610LN,2010,2020,Pre-owned,Full Set,Diver,8500.0,Chrono24,2025-10-01,10164.74
Rolex Submariner 116610LN,2010,2020,Pre-owned,Full Set,Diver,8500.0,Chrono24,2025-11-01,10219.15
Rolex Submariner 116610LN,2010,2020,Pre-owned,Full Set,Diver,8500.0,Chrono24,2025-12-01,10203.64
Rolex GMT-Master II 126710BLRO,2018,,Pre-owned,Full Set,GMT,9400.0,Chrono24,2024-01-01,15758.18
Rolex GMT-Master II 126710BLRO,2018,,Pre-owned,Full Set,GMT,9400.0,Chrono24,2024-02-01,15963.63
Rolex GMT-Master II 126710BLRO,2018,,Pre-owned,Full Set,GMT,9400.0,Chrono24,2024-03-01,16025.07
